Site Id,Site Name,Status,Remediation Status,Type of Contamination,X Coord,Y Coord
5322,Semper Erat In LLC,DEP case,In Progress,Multiple Source/Release to Multi-Media Including GW,443795,531046
5323,At Consulting,Pending receipt of waiver,Not started,NA,433883,517098
5324,Massa Vestibulum Accumsan Limited,DEP case,In Progress,NA,442863,485834
5325,Sociis Natoque Corp.,Clear,NA,NA,416630,565085
5326,Aliquam Industries,DEP case,In Progress,Known Source or Release with GW Contamination,439306,505939
5328,Non Lacinia Institute,Clear,NA,NA,472159,514215
5329,Auctor Ullamcorper Consulting,DEP case,In Progress,Unknown or Uncontrolled Discharge to Soil or GW,440663,505358
5330,Tempus Scelerisque Foundation,Clear,NA,NA,420634,507398
5331,Malesuada Augue Inc.,Pending receipt of waiver,Not started,NA,428308,489503
5332,Purus Sapien Gravida Foundation,Clear,NA,NA,428150,554960
5333,Sed Est Nunc Institute,Clear,NA,NA,453901,541970
5334,Commodo At Company,Clear,NA,NA,450332,553363
5335,Velit Cras Foundation,Clear,NA,NA,433258,515500
5336,Cras Eget Inc.,DEP case,In Progress,Known Source or Release with GW Contamination,493040,520101
5337,Accumsan LLC,Clear,NA,NA,418849,567449
5338,Arcu Company,DEP case,In Progress,Known Source or Release with GW Contamination,457288,530725
5339,Ultricies Industries,Clear,NA,NA,428859,535095
5340,Porttitor Eros Nec Corporation,Clear,NA,NA,444954,508443
5341,Semper Tellus Id Associates,Clear,NA,NA,417715,550371
5342,Et Magnis Institute,Clear,NA,NA,436859,524848
5343,At Arcu Vestibulum PC,DEP case,In Progress,Source Known or Identified-Potential GW Contamination,422621,524871
5344,Rhoncus Limited,DEP case,In Progress,Multiple Source/Release to Multi-Media Including GW,434184,523932
5345,Amet LLC,Clear,NA,NA,423291,499252
5346,At Libero Morbi Incorporated,Clear,NA,NA,416363,510789
5348,Vestibulum Nec Ltd,Clear,NA,NA,411940,511128
5349,Blandit Enim Consequat LLC,Clear,NA,NA,425030,513650
5350,Consectetuer Euismod Institute,Clear,NA,NA,421579,511000
5351,Dolor Fusce Feugiat Corp.,DEP case,In Progress,Known Source or Release with GW Contamination,481440,524428
5352,Sed Hendrerit A Limited,Clear,NA,NA,448491,540529
5353,Nunc Sollicitudin Institute,Clear,NA,NA,404144,519358
5354,Eu Consulting,Clear,NA,NA,421412,499925
5355,In Cursus Institute,Clear,NA,NA,420957,567350
5356,Luctus Ltd,Clear,NA,NA,420957,567350
5357,Odio Etiam Ligula Consulting,Clear,NA,NA,419437,506610
5359,Ipsum Sodales Associates,Clear,NA,NA,488351,521827
5360,Mollis Associates,Clear,NA,NA,420127,497196
5361,Ante Maecenas Incorporated,Clear,NA,NA,417836,506445
5362,Aliquet Libero Company,Clear,NA,NA,415834,509910
5363,Sem Pellentesque Inc.,Clear,NA,NA,419248,502084
5364,Dolor Sit Foundation,Clear,NA,NA,421740,557717
5365,Vestibulum Ante Limited,Clear,NA,NA,421222,557822
5366,Etiam Vestibulum LLP,Clear,NA,NA,423286,497617
5367,Vivamus Molestie Corporation,DEP case,In Progress,Source Known or Identified-Potential GW Contamination ,416154,520029
5368,Lacus Quisque Ltd,Clear,NA,NA,416212,520059
5369,Pretium Neque Consulting,Clear,NA,NA,415727,519924
5370,Commodo Corporation,Clear,NA,NA,416949,520612
5371,Porttitor Foundation,Clear,NA,NA,415938,520223
5372,Dapibus Inc.,Clear,NA,NA,446371,557847
5374,Duis Institute,DEP case,In Progress,Known Source or Release with GW Contamination,482277,521092
5375,Amet Corporation,Clear,NA,NA,416863,510964
5376,Tristique Aliquet Phasellus Inc.,DEP case,In Progress,Multiple Source/Release to Multi-Media Including GW,436301,516515
5377,Ornare Tortor At Ltd,Clear,NA,NA,428837,511380
5378,Dis Parturient Foundation,DEP case,In Progress,Known Source or Release with GW Contamination,443611,508833
5379,Tempor Arcu Industries,DEP case,In Progress,Source Known or Identified-Potential GW Contamination ,417152,512743
5380,Quam Elementum Corporation,Clear,NA,NA,426895,513181
5381,Mauris Ut Corporation,Clear,NA,NA,458577,539230
5382,Malesuada Fames Ac LLP,Clear,NA,NA,422433,505672
5383,Urna Nunc Quis Limited,Clear,NA,NA,439969,524049
5384,Est Company,Clear,NA,NA,431277,501284
5385,Nonummy Fusce Inc.,Clear,NA,NA,453530,545840
5387,Diam Pellentesque Habitant LLP,DEP case,In Progress,Known Source or Release with GW Contamination,409311,519556
5388,Eget Magna Company,DEP case,In Progress,Unknown or Uncontrolled Discharge to Soil or GW,455281,544996
5390,Ac Libero Limited,DEP case,In Progress,Known Source or Release with GW Contamination,478974,520928
5391,Sit Amet Associates,DEP case,In Progress,Unknown or Uncontrolled Discharge to Soil or GW,406390,521939
5392,Dolor Dolor Company,Clear,NA,NA,426736,499945
5393,Eu Neque LLP,Clear,NA,NA,493327,516637
5394,Ipsum Corporation,Clear,NA,NA,408453,516093
5395,Neque Morbi Quis Company,Clear,NA,NA,441769,492390
5396,Consequat Enim Institute,DEP case,In Progress,Known Source or Release with GW Contamination,442031,492175
5397,Eget Tincidunt Institute,Clear,NA,NA,419647,509677
5398,Nunc Ltd,DEP case,In Progress,Unknown or Uncontrolled Discharge to Soil or GW,428244,489706
5399,Posuere At Corp.,DEP case,In Progress,Known Source or Release with GW Contamination,428223,489647
5400,Mi Fringilla Limited,Clear,NA,NA,437026,536065
5401,Cras Lorem Inc.,DEP case,In Progress,Known Source or Release with GW Contamination,427720,509861
5402,Et Pede Nunc Foundation,DEP case,In Progress,Known Source or Release with GW Contamination,478864,523839
5403,Lacus Institute,Clear,NA,NA,424017,509106
5404,Suspendisse Associates,Clear,NA,NA,433002,552597
5405,Quam Foundation,DEP case,In Progress,Known Source or Release with GW Contamination,410645,516529
5406,Lobortis Ultrices Vivamus Ltd,DEP case,In Progress,Unknown or Uncontrolled Discharge to Soil or GW,420371,512265
5407,Mauris Quis Turpis Corporation,Clear,NA,NA,491548,525936
5408,Magnis Dis Parturient Institute,DEP case,In Progress,Unknown or Uncontrolled Discharge to Soil or GW,453722,550248
5409,Vivamus Nibh Dolor Foundation,Clear,NA,NA,429273,494596
5410,Eget Mollis Lectus Institute,Clear,NA,NA,421352,510581
5411,Augue Consulting,Clear,NA,NA,413718,526100
5412,Proin Vel Arcu Incorporated,DEP case,In Progress,Unknown or Uncontrolled Discharge to Soil or GW,413828,518746
5413,Nulla Cras Eu LLC,DEP case,In Progress,Known Source or Release with GW Contamination,416611,515574
5414,Dis Parturient Montes Institute,DEP case,In Progress,Known Source or Release with GW Contamination,419664,521759
5415,Tortor Consulting,DEP case,In Progress,Known Source or Release with GW Contamination,421625,516588
5416,A Industries,DEP case,In Progress,Known Source or Release with GW Contamination,419529,512491
5417,Proin Sed Associates,DEP case,In Progress,Known Source or Release with GW Contamination,429060,515505
5418,Risus Duis A Ltd,DEP case,Not started,Known Source or Release with GW Contamination,406701,511876
5419,Sed Pede Nec Ltd,Clear,NA,NA,421850,512537
5420,Duis Mi Company,DEP case,In Progress,Known Source or Release with GW Contamination,439693,511250
5421,Conubia Nostra Limited,DEP case,In Progress,Known Source or Release with GW Contamination,428535,489190
5423,Aliquam Gravida Foundation,DEP case,In Progress,Source Known or Identified-Potential GW Contamination ,428781,488941
5424,Ante Iaculis Nec Company,DEP case,In Progress,Known Source or Release with GW Contamination,418294,512931
5425,Quam Elementum LLC,Clear,NA,NA,420193,511382
5427,Risus Associates,Clear,NA,NA,426123,512420
5428,Cras Company,Clear,NA,NA,409595,519117
5429,Tellus Sem Associates,Clear,NA,NA,471916,515698
5430,Sodales At Velit Limited,Clear,NA,NA,424709,508299
5431,Mauris Nulla Integer PC,Clear,NA,NA,424419,508558
5433,Est Ac Mattis LLP,Clear,NA,NA,426838,513370
5434,Vel Nisl Ltd,Clear,NA,NA,415238,515955
5435,Dolor Donec Fringilla Incorporated,Clear,NA,NA,458724,538559
5436,Dolor Fusce Mi Corporation,Clear,NA,NA,469137,530825
5437,Erat Eget Ipsum Consulting,Clear,NA,NA,417655,509193
5438,Convallis Dolor Quisque Institute,DEP case,In Progress,Unknown or Uncontrolled Discharge to Soil or GW,420865,515255
5439,Pellentesque Habitant Morbi Inc.,DEP case,In Progress,Multiple Source/Release to Multi-Media Including GW,430156,512619
5440,Interdum Nunc Sollicitudin Institute,DEP case,In Progress,Unknown or Uncontrolled Discharge to Soil or GW,428916,511539
5441,Sit Industries,Clear,NA,NA,414703,510884
5443,Quisque Libero Lacus Institute,Clear,NA,NA,446947,507758
5444,Sapien Molestie LLP,Clear,NA,NA,474533,528635
5445,Neque Venenatis Institute,Clear,NA,NA,439323,499862
5447,Enim Company,Clear,NA,NA,453560,545422
5448,Iaculis Lacus Pede Consulting,Clear,NA,NA,431301,495522
5449,Mi Company,Clear,NA,NA,483902,521996
5450,Euismod Associates,DEP case,Not started,Source Known or Identified-Potential GW Contamination,458688,540414
5451,Adipiscing Institute,Pending redevelopment,Not started,NA,429132,514727
5452,Tellus Incorporated,Clear,NA,NA,453700,495700
5453,Dolor Quisque PC,Clear,NA,NA,461938,539876
5454,Felis Eget Company,DEP case,In Progress,Known Source or Release with GW Contamination,483811,521729
5455,Magna Sed Eu Corp.,DEP case,Not started,Unknown or Uncontrolled Discharge to Soil or GW,417920,510599
5456,Nonummy Limited,DEP case,In Progress,Known Source or Release with GW Contamination,451350,506123
5457,Faucibus Morbi Limited,DEP case,In Progress,Source Known or Identified-Potential GW Contamination,433830,508805
5459,Vehicula Et Rutrum PC,DEP case,In Progress,Unknown or Uncontrolled Discharge to Soil or GW,436000,501429
5460,Ante Vivamus Consulting,Clear,NA,NA,433260,491667
5461,Nam Tempor Diam Foundation,Clear,NA,NA,433430,500719
5464,Viverra Donec Associates,Clear,NA,NA,482135,525380
5465,Sed Sem Industries,DEP case,In Progress,Unknown or Uncontrolled Discharge to Soil or GW,412371,522271
5466,Tristique Consulting,Clear,NA,NA,441016,509596
5467,Ipsum Phasellus Inc.,DEP case,In Progress,Known Source or Release with GW Contamination,421666,512677
5468,Nisi Incorporated,Clear,NA,NA,421805,512761
5469,Sem Eget Massa Incorporated,DEP case,In Progress,Known Source or Release with GW Contamination,429205,519177
5470,Nulla Ante Consulting,Clear,NA,NA,494759,522406
5471,Ornare Sagittis Felis LLP,Clear,NA,NA,424443,508520
5472,Id Mollis Nec Incorporated,DEP case,In Progress,Source Known or Identified-Potential GW Contamination,480482,519689
5473,Suspendisse Foundation,Clear,NA,NA,483968,527865
5474,Neque Inc.,Clear,NA,NA,479756,522113
5476,Orci Consectetuer Industries,DEP case,In Progress,Known Source or Release with GW Contamination,482162,525196
5477,Justo PC,DEP case,In Progress,Known Source or Release with GW Contamination,486599,524080
5478,Risus In Limited,Clear,NA,NA,481414,524134
5479,Tristique Associates,Clear,NA,NA,417126,566123
5480,Enim Gravida Corporation,Clear,NA,NA,409185,554787
5481,Iaculis Nec LLC,Clear,NA,NA,404260,537818
5482,Mi Tempor Lorem PC,Clear,NA,NA,411407,540753
5483,Eu Euismod Ac LLC,Clear,NA,NA,415329,564035
5484,Iaculis Lacus Foundation,DEP case,Not started,Known Source or Release with GW Contamination,421267,516393
5485,Erat Volutpat Nulla Company,DEP case,Not started,Known Source or Release with GW Contamination,427837,515861
5486,Enim Consulting,Clear,NA,NA,425496,510635
5487,Sociosqu Foundation,DEP case,In Progress,Known Source or Release with GW Contamination,426229,513826
5490,Quisque Ac Libero LLP,DEP case,In Progress,Multiple Source/Release to Multi-Media Including GW,426142,510211
5491,A Malesuada Incorporated,DEP case,Not started,Known Source or Release with GW Contamination,414577,516822
5492,Pede Consulting,Redeveloped,Not started,NA,430620,494761
5493,Amet Ornare Lectus Incorporated,Clear,NA,NA,421406,508397
5494,Nisi Cum LLC,Clear,NA,NA,485723,523223
5495,Lobortis Tellus LLC,Clear,NA,NA,442738,498075
5496,Luctus Corporation,Clear,NA,NA,425817,511534
5497,Nec Quam Associates,DEP case,In Progress,Unknown or Uncontrolled Discharge to Soil or GW,432393,514869
5498,Sem Corporation,DEP case,In Progress,Source Known or Identified-Potential GW Contamination,427726,509692
5499,Velit LLC,Clear,NA,NA,440075,531253
5501,Libero Consulting,DEP case,In Progress,Known Source or Release with GW Contamination,406195,528484
5502,Aliquet Lobortis Nisi Company,DEP case,In Progress,Known Source or Release with GW Contamination,481014,523603
5503,Arcu Eu Odio Company,Clear,NA,NA,457503,503565
5505,Tristique Aliquet Company,DEP case,Not started,Known Source or Release with GW Contamination,443362,490959
5507,Ac Associates,DEP case,In Progress,Known Source or Release with GW Contamination,444551,490255
5508,Elit Fermentum Risus Foundation,DEP case,In Progress,Source Known or Identified-Potential GW Contamination,414187,519132
5509,Amet Foundation,Clear,NA,NA,428756,508384
5511,Eu Corporation,Clear,NA,NA,419821,567855
5512,Enim Nec Company,Clear,NA,NA,419821,567855
5513,Non Egestas A PC,Clear,NA,NA,423594,510240
5514,Mauris Company,DEP case,In Progress,Source Known or Identified-Potential GW Contamination,417900,510798
5515,Donec Nibh Quisque Institute,Clear,NA,NA,417849,504840
5517,Laoreet Ipsum Ltd,Clear,NA,NA,432974,494499
5520,Vitae Corporation,Clear,NA,NA,439107,493240
5521,A Nunc In PC,Clear,NA,NA,425339,513244
5522,Etiam Consulting,Clear,NA,NA,448366,548132
5523,Ac Foundation,DEP case,In Progress,Known Source or Release with GW Contamination,424917,521151
5524,Vestibulum Corporation,DEP case,In Progress,Known Source or Release with GW Contamination,431676,521685
5525,Quisque Tincidunt Pede Institute,Clear,NA,NA,426146,514652
5526,Sed Foundation,DEP case,In Progress,Known Source or Release with GW Contamination,424536,516178
5528,Etiam Vestibulum Limited,DEP case,In Progress,Source Known or Identified-Potential GW Contamination,423582,524367
5530,Vitae Company,DEP case,In Progress,Known Source or Release with GW Contamination,427916,533870
5531,Ac Arcu Foundation,Clear,NA,NA,481057,523884
5532,In Industries,Clear,NA,NA,473065,515607
5534,Litora Torquent Per Corp.,Clear,NA,NA,483039,521138
5535,Eget Venenatis LLP,Clear,NA,NA,446545,538208
5536,Elementum Incorporated,Clear,NA,NA,417855,514697
5537,Urna Ut Tincidunt Consulting,Clear,NA,NA,403068,521760
5538,Aliquet Libero Integer Corporation,Clear,NA,NA,429233,519644
5539,Et Corporation,Clear,NA,NA,439769,509983
5540,Cum Sociis Limited,Clear,NA,NA,418756,518812
5541,Magna Associates,Clear,NA,NA,413764,525937
5542,Non Dapibus Rutrum Institute,Clear,NA,NA,412670,537238
5543,Semper LLC,Clear,NA,NA,495843,522031
5544,Non Enim Foundation,Clear,NA,NA,426870,530526
5546,Consequat Associates,Clear,NA,NA,422389,509147
5548,Massa Lobortis Ultrices Consulting,Clear,NA,NA,421719,511324
5549,Et Lacinia LLP,Clear,NA,NA,479983,522163
5550,Nec Ltd,Clear,NA,NA,448495,549760
5551,Vitae Erat Incorporated,Clear,NA,NA,416749,507974
5552,Leo Cras Vehicula Associates,DEP case,In Progress,Known Source or Release with GW Contamination,433296,499946
5553,Tristique Aliquet Phasellus Incorporated,DEP case,In Progress,Unknown or Uncontrolled Discharge to Soil or GW,405322,516622
5554,Pellentesque Tellus Sem Incorporated,Clear,NA,NA,421499,514252
5555,Laoreet Libero Et Corporation,DEP case,In Progress,Source Known or Identified-Potential GW Contamination,473930,495100
5556,Convallis Erat PC,DEP case,Not started,Known Source or Release with GW Contamination,440689,518645
5557,Sit Amet Dapibus Consulting,Clear,NA,NA,398852,562639
5558,Et Magna Consulting,Clear,NA,NA,418258,506866
5559,In Lorem PC,Clear,NA,NA,478939,526228
5560,Lacinia Vitae Corporation,Clear,NA,NA,424726,507296
5561,Suspendisse Industries,Clear,NA,NA,405109,528114
5562,Massa Industries,DEP case,In Progress,Source Known or Identified-Potential GW Contamination,375407,545479
5563,Arcu Ltd,Clear,NA,NA,434793,509016
5564,Massa Associates,DEP case,In Progress,Unknown or Uncontrolled Discharge to Soil or GW,406609,528873
5565,Ligula Aliquam Erat LLC,DEP case,In Progress,Source Known or Identified-Potential GW Contamination,417025,529272
5567,Nec Consulting,Clear,NA,NA,403450,525954
5568,Sed LLC,Clear,NA,NA,416791,542811
5569,Elit A Feugiat Corporation,Pending redevelopment,Not started,NA,418569,503628
5570,Netus Consulting,Clear,NA,NA,439541,510969
5571,At Arcu Vestibulum Incorporated,Clear,NA,NA,420769,502911
5572,Ac Orci Associates,Clear,NA,NA,464858,503133
5573,Nunc Associates,Clear,NA,NA,415205,510565
5574,Proin Velit Sed Institute,DEP case,In Progress,Known Source or Release with GW Contamination,461980,542008
5575,Dictum Cursus Nunc Limited,Clear,NA,NA,411238,517108
5576,Ipsum Dolor Sit Associates,Clear,NA,NA,418132,507202
5577,Dictum Mi Industries,DEP case,In Progress,Single Contamination Affecting Only Soils,408404,543692
5578,Purus Incorporated,DEP case,Not started,Unknown or Uncontrolled Discharge to Soil or GW,417522,511057
5579,Interdum Feugiat Sed Company,Clear,NA,NA,420217,508647
5580,Ridiculus Company,Clear,NA,NA,426437,508610
5581,Dui Quis Accumsan Associates,DEP case,In Progress,Multiple Source/Release to Multi-Media Including GW,466631,510054
5582,Cursus Vestibulum Limited,Pending receipt of waiver,Not started,Multiple Source/Release to Multi-Media Including GW,404545,522821
5584,Arcu Imperdiet Ullamcorper PC,DEP case,In Progress,Source Known or Identified-Potential GW Contamination,428536,511086
5585,Interdum LLP,Clear,NA,NA,412260,537618
5587,Ante LLC,DEP case,In Progress,Known Source or Release with GW Contamination,415573,508974
5588,Pharetra Sed Hendrerit Ltd,DEP case,In Progress,Known Source or Release with GW Contamination,442320,521185
5589,Libero Company,Clear,NA,NA,419706,513902
5592,Cras Dolor Associates,Clear,NA,NA,416707,504854
5593,Eu Corporation,DEP case,In Progress,Source Known or Identified-Potential GW Contamination,420877,507571
5594,Sem Consequat Nec Inc.,DEP case,In Progress,Source Known or Identified-Potential GW Contamination,408821,518609
5595,Dolor Industries,Clear,NA,NA,450256,498010
5596,Eu Sem Institute,Pending receipt of waiver,Not started,Unknown or Uncontrolled Discharge to Soil or GW,420740,499949
5598,Imperdiet Limited,DEP case,In Progress,Unknown,408997,518452
5599,Integer Vitae Limited,Clear,NA,NA,443671,534910
5600,Pede Cras Vulputate Corporation,Clear,NA,NA,418157,500688
5601,Nisl Arcu Iaculis Limited,DEP case,In Progress,Source Known or Identified-Potential GW Contamination,457447,503380
5602,Enim Etiam Imperdiet Ltd,Clear,NA,NA,428301,511521
5604,Turpis Egestas Foundation,Clear,NA,NA,397622,521307
5605,Porttitor Tellus Non Inc.,Clear,NA,NA,451724,506457
5606,Massa Vestibulum Accumsan Limited,Clear,NA,NA,414715,511134
5608,Arcu Morbi Sit Corp.,Clear,NA,NA,407920,521105
5609,Eu Erat Semper LLC,DEP case,In Progress,Known Source or Release with GW Contamination,420834,499586
5610,Elit Pretium Ltd,Clear,NA,NA,409179,544417
5611,Non Enim Associates,Clear,NA,NA,411870,537279
5612,Placerat Orci Lacus Corp.,Nominated,Not started,Unknown or Uncontrolled Discharge to Soil or GW,424448,512384
5614,Pretium Neque Morbi Consulting,DEP case,In Progress,Known Source or Release with GW Contamination,418167,512558
5616,Luctus Et Foundation,Clear,NA,NA,420849,512366
5617,Elementum Sem Vitae Corporation,Clear,NA,NA,447705,498877
5618,Suspendisse Inc.,Clear,NA,NA,449662,557383
5620,Pretium Neque Morbi Foundation,DEP case,In Progress,Known Source or Release with GW Contamination,421455,501016
5621,Imperdiet Ornare LLP,DEP case,In Progress,Known Source or Release with GW Contamination,447818,552884
5622,Ut Sagittis Lobortis Ltd,DEP case,In Progress,Known Source or Release with GW Contamination,451342,554247
5623,Mauris Industries,DEP case,In Progress,Source Known or Identified-Potential GW Contamination,443561,521920
5625,Ipsum Dolor Ltd,Clear,NA,NA,445140,538320
5628,Nulla Tempor Augue LLC,Clear,NA,NA,421740,557717
5629,Nulla Ltd,DEP case,In Progress,Unknown or Uncontrolled Discharge to Soil or GW,421222,557822
5630,Lectus Cum Sociis Institute,DEP case,Not started,Known Source or Release with GW Contamination,447465,553211
5631,Augue Porttitor Industries,DEP case,Not started,Known Source or Release with GW Contamination,447031,538259
5632,Elit Industries,DEP case,In Progress,Source Known or Identified-Potential GW Contamination,446186,556657
5634,Purus Accumsan Corporation,Clear,NA,NA,450371,549221
5637,Orci Company,Clear,NA,NA,432920,529561
5638,Justo Company,Clear,NA,NA,408805,511064
5639,Etiam PC,Clear,NA,NA,421467,509702
5640,In Company,DEP case,In Progress,Unknown or Uncontrolled Discharge to Soil or GW,426849,490618
5641,Rhoncus Incorporated,Clear,NA,NA,436020,507709
5643,Amet Orci Limited,Clear,NA,NA,439979,514745
5644,Diam Lorem Auctor Industries,DEP case,In Progress,Known Source or Release with GW Contamination,415508,506421
5645,Nisl Arcu Limited,Clear,NA,NA,437192,499430
5646,Dolor Vitae Dolor Corp.,Clear,NA,NA,423736,511755
5647,Nulla Semper Tellus LLC,Clear,NA,NA,444178,527116
5648,Felis Ltd,DEP case,In Progress,Multiple Source/Release to Multi-Media Including GW,431698,513977
5649,Vivamus Sit Corp.,DEP case,In Progress,Multiple Source/Release to Multi-Media Including GW,404340,518534
5650,Quisque LLC,Clear,NA,NA,476257,529649
5651,Semper Egestas Institute,DEP case,In Progress,Source Known or Identified-Potential GW Contamination,476215,529583
5652,Elit Elit Fermentum Corp.,Clear,NA,NA,426455,496667
5653,Nunc Sollicitudin Associates,Clear,NA,NA,421783,493793
5654,Magna Suspendisse Tristique Industries,Pending receipt of waiver,Not started,Unknown or Uncontrolled Discharge to Soil or GW,422096,513001
5655,Sociis Natoque Institute,DEP case,In Progress,Source Known or Identified-Potential GW Contamination,390014,533153
5656,Quis Lectus Industries,Clear,NA,NA,420586,516144
